"DMA_ID","DB_ID","DMA_NUMBER","DESCRIPTION","DMA_ABBREV","DMA_SHORT_NAME","PSEUDO_DMA_TYPE","ACTUAL_DMA_ID","SERVED_STATUS","CAMC_MARKET_ID","MPG_MARKET_ID","ACCOUNTS","A3_ONLY_FLAG","MPEG4_ONLY_FLAG","LILN_PSEUDO_TABLE_FLAG","INACTIVE_FLAG","SENT_TO_CAMC_FLAG","NOTES","LAST_MOD_DATE","IS_DELETED","BILLING_SYSTEM"
276,0,866,"Fresno-Visalia CA","FR","Fresno","",,0,74,72,109784,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
277,0,868,"Chico-Redding CA","CI","Chico","",,0,69,40,17523,0,0,0,0,1,"",03/30/2017 09:52:14.459000000 PM,0,0
278,0,881,"Spokane WA","SK","Spokane","",,0,93,178,42966,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
279,0,999,"Unserved","","","",,3,0,,31,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
280,0,326,"326 Created from Re-Sync","","","",,3,,,0,0,0,0,1,1,"",05/24/2012 10:10:13.000000000 PM,1,0
281,0,998,"Puerto Rico","","","",,0,211,213,43,0,0,0,0,1,"",01/31/2013 03:40:52.233000000 AM,0,1
282,0,997,"TMP","","","",94,0,0,,0,0,0,0,0,,"",01/31/2013 02:59:39.787000000 AM,1,0
301,0,160,"Raleigh-Durham NC - Fringe SD Locals","","","Special",129,0,0,,1786,0,0,1,0,,"",12/14/2015 10:46:19.976000000 PM,0,0
1,0,100,"Portland-Auburn ME - Fringe Locals","","","Special",69,5,,,588,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
2,0,106,"Boston MA - No HD Locals","","","",75,1,,,0,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
3,0,112,"Baltimore MD - No HD Locals","","","",81,1,,,0,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
4,0,114,"Unserved - Buffalo NY","","","",83,3,,,0,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
5,0,117,"Charlotte NC - No HD Locals","","","",86,1,,,0,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
6,0,127,"Indianapolis IN - No HD Locals","","","",96,1,,,0,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
7,0,129,"Louisville KY - HD Only Locals","","","",98,4,0,,297,0,0,0,0,1,"",03/30/2017 09:52:12.158000000 PM,0,0
8,0,130,"Tallahassee FL - HD Only Locals","","","",99,4,0,,7,0,0,0,0,1,"",03/20/2017 10:48:16.571000000 PM,0,0
9,0,132,"Albany-Schenectady-Troy NY - Fringe SD Locals","","","Special",101,0,0,,112,0,0,1,0,1,"",04/15/2013 07:00:40.761000000 PM,0,0
