"COUNTY_ID","DB_ID","STATE_ID","NAME","SIZE_CODE","ACCOUNTS","USPS_STATE_CODE"
486,0,11,"HARALSON",9,1419,"143"
487,0,11,"HARRIS",8,974,"145"
488,0,11,"HART",9,1701,"147"
489,0,11,"HEARD",9,3853,"149"
490,0,11,"HENRY",6,9611,"151"
491,0,11,"HOUSTON",8,3932,"153"
492,0,11,"IRWIN",9,296,"155"
493,0,11,"JACKSON",9,7186,"157"
494,0,11,"JASPER",9,2365,"159"
495,0,11,"JEFF DAVIS",9,638,"161"
496,0,11,"JEFFERSON",9,642,"163"
497,0,11,"JENKINS",9,32,"165"
498,0,11,"JOHNSON",9,469,"167"
499,0,11,"JONES",8,4334,"169"
500,0,11,"LAMAR",9,500,"171"
501,0,11,"LANIER",9,416,"173"
502,0,11,"LAURENS",9,2382,"175"
503,0,11,"LEE",8,2446,"177"
504,0,11,"LIBERTY",9,3758,"179"
505,0,11,"LINCOLN",9,94,"181"
506,0,11,"LONG",9,207,"183"
507,0,11,"LOWNDES",8,4524,"185"
508,0,11,"LUMPKIN",9,17,"187"
509,0,11,"MCDUFFIE",7,313,"189"
510,0,11,"MCINTOSH",9,518,"191"
511,0,11,"MACON",9,1103,"193"
512,0,11,"MADISON",8,124,"195"
513,0,11,"MARION",9,353,"197"
514,0,11,"MERIWETHER",9,2447,"199"
515,0,11,"MILLER",9,10,"201"
516,0,11,"MITCHELL",9,254,"205"
517,0,11,"MONROE",9,1921,"207"
518,0,11,"MONTGOMERY",9,222,"209"
519,0,11,"MORGAN",9,1315,"211"
520,0,11,"MURRAY",9,1879,"213"
521,0,11,"MUSCOGEE",8,7318,"215"
522,0,11,"NEWTON",6,7569,"217"
523,0,11,"OCONEE",8,3015,"219"
524,0,11,"OGLETHORPE",9,864,"221"
525,0,11,"PAULDING",6,12458,"223"
526,0,11,"PEACH",8,2051,"225"
527,0,11,"PICKENS",6,1191,"227"
528,0,11,"PIERCE",9,55,"229"
529,0,11,"PIKE",9,2643,"231"
530,0,11,"POLK",9,2101,"233"
531,0,11,"PULASKI",9,1099,"235"
532,0,11,"PUTNAM",9,925,"237"
533,0,11,"QUITMAN",9,0,"239"
534,0,11,"RABUN",9,1785,"241"
535,0,11,"RANDOLPH",9,291,"243"
536,0,11,"RICHMOND",7,7710,"245"
537,0,11,"ROCKDALE",6,8065,"247"
538,0,11,"SCHLEY",9,2,"249"
539,0,11,"SCREVEN",9,936,"251"
540,0,11,"SEMINOLE",9,89,"253"
541,0,11,"SPALDING",6,3826,"255"
542,0,11,"STEPHENS",9,144,"257"
543,0,11,"STEWART",9,514,"259"
544,0,11,"SUMTER",9,1428,"261"
545,0,11,"TALBOT",9,515,"263"
546,0,11,"TALIAFERRO",9,245,"265"
547,0,11,"TATTNALL",9,956,"267"
548,0,11,"TAYLOR",9,392,"269"
549,0,11,"TELFAIR",9,452,"271"
550,0,11,"TERRELL",9,1566,"273"
551,0,11,"THOMAS",9,1152,"275"
552,0,11,"TIFT",9,101,"277"
553,0,11,"TOOMBS",9,11,"279"
554,0,11,"TOWNS",9,1297,"281"
555,0,11,"TREUTLEN",9,613,"283"
556,0,11,"TROUP",9,1110,"285"
557,0,11,"TURNER",9,364,"287"
558,0,11,"TWIGGS",8,1496,"289"
559,0,11,"UNION",9,752,"291"
560,0,11,"UPSON",9,1297,"293"
561,0,11,"WALKER",7,4051,"295"
562,0,11,"WALTON",6,6724,"297"
563,0,11,"WARE",9,1524,"299"
564,0,11,"WARREN",9,1487,"301"
565,0,11,"WASHINGTON",9,1162,"303"
566,0,11,"WAYNE",9,1801,"305"
567,0,11,"WEBSTER",9,8,"307"
568,0,11,"WHEELER",9,107,"309"
569,0,11,"WHITE",9,3115,"311"
570,0,11,"WHITFIELD",8,2271,"313"
571,0,11,"WILCOX",9,796,"315"
572,0,11,"WILKES",9,636,"317"
573,0,11,"WILKINSON",9,268,"319"
574,0,11,"WORTH",9,1902,"321"
575,0,12,"VIP",0,2,"000"
576,0,12,"HAWAII",8,5013,"001"
577,0,12,"HONOLULU",7,9830,"003"
578,0,12,"KAUAI",9,966,"007"
579,0,12,"MAUI",8,2541,"009"
580,0,14,"VIP",0,1,"000"
581,0,14,"ADA",7,21784,"001"
582,0,14,"ADAMS",9,661,"003"
583,0,14,"BANNOCK",8,1350,"005"
584,0,14,"BEAR LAKE",9,475,"007"
585,0,14,"BENEWAH",9,753,"009"
586,0,14,"BINGHAM",9,3595,"011"
587,0,14,"BLAINE",9,1063,"013"
588,0,14,"BOISE",9,345,"015"
589,0,14,"BONNER",9,2588,"017"
590,0,14,"BONNEVILLE",8,2960,"019"
591,0,14,"BOUNDARY",9,434,"021"
592,0,14,"BUTTE",9,197,"023"
593,0,14,"CAMAS",9,28,"025"
594,0,14,"CANYON",7,10076,"027"
595,0,14,"CARIBOU",9,196,"029"
596,0,14,"CASSIA",9,1222,"031"
597,0,14,"CLARK",9,29,"033"
598,0,14,"CLEARWATER",9,388,"035"
599,0,14,"CUSTER",9,252,"037"
600,0,14,"ELMORE",9,2684,"039"
601,0,14,"FRANKLIN",9,646,"041"
602,0,14,"FREMONT",9,1464,"043"
603,0,14,"GEM",9,3122,"045"
604,0,14,"GOODING",9,358,"047"
605,0,14,"IDAHO",9,778,"049"
606,0,14,"JEFFERSON",9,1753,"051"
607,0,14,"JEROME",9,1077,"053"
608,0,14,"KOOTENAI",8,6402,"055"
609,0,14,"LATAH",9,918,"057"
610,0,14,"LEMHI",9,339,"059"
611,0,14,"LEWIS",9,343,"061"
612,0,14,"LINCOLN",9,201,"063"
613,0,14,"MADISON",9,118,"065"
614,0,14,"MINIDOKA",9,782,"067"
615,0,14,"NEZ PERCE",9,1461,"069"
616,0,14,"ONEIDA",9,234,"071"
617,0,14,"OWYHEE",9,680,"073"
618,0,14,"PAYETTE",9,2153,"075"
619,0,14,"POWER",9,1656,"077"
620,0,14,"SHOSHONE",9,738,"079"
621,0,14,"TETON",9,812,"081"
622,0,14,"TWIN FALLS",9,3792,"083"
623,0,14,"VALLEY",9,482,"085"
624,0,14,"WASHINGTON",9,975,"087"
625,0,15,"VIP",0,29,"000"
626,0,15,"ADAMS",8,1855,"001"
627,0,15,"ALEXANDER",9,405,"003"
628,0,15,"BOND",9,333,"005"
629,0,15,"BOONE",7,3704,"007"
630,0,15,"BROWN",9,159,"009"
631,0,15,"BUREAU",9,1095,"011"
632,0,15,"CALHOUN",9,327,"013"
633,0,15,"CARROLL",9,596,"015"
634,0,15,"CASS",9,238,"017"
635,0,15,"CHAMPAIGN",8,5532,"019"
636,0,15,"CHRISTIAN",9,1503,"021"
637,0,15,"CLARK",9,324,"023"
638,0,15,"CLAY",9,183,"025"
639,0,15,"CLINTON",6,1806,"027"
640,0,15,"COLES",9,1360,"029"
641,0,15,"COOK",6,98640,"031"
642,0,15,"CRAWFORD",9,618,"033"
643,0,15,"CUMBERLAND",9,353,"035"
644,0,15,"DEKALB",6,3258,"037"
645,0,15,"DEWITT",9,907,"039"
646,0,15,"DOUGLAS",9,562,"041"
647,0,15,"DUPAGE",6,67405,"043"
648,0,15,"EDGAR",9,647,"045"
649,0,15,"EDWARDS",9,325,"047"
650,0,15,"EFFINGHAM",9,263,"049"
651,0,15,"FAYETTE",9,1463,"051"
652,0,15,"FORD",9,583,"053"
653,0,15,"FRANKLIN",9,2168,"055"
654,0,15,"FULTON",9,1236,"057"
655,0,15,"GALLATIN",9,281,"059"
656,0,15,"GREENE",9,896,"061"
657,0,15,"GRUNDY",6,1598,"063"
658,0,15,"HAMILTON",9,317,"065"
659,0,15,"HANCOCK",9,426,"067"
660,0,15,"HARDIN",9,149,"069"
661,0,15,"HENDERSON",9,341,"071"
662,0,15,"HENRY",7,2087,"073"
663,0,15,"IROQUOIS",9,1487,"075"
664,0,15,"JACKSON",9,1108,"077"
665,0,15,"JASPER",9,373,"079"
666,0,15,"JEFFERSON",9,1175,"081"
667,0,15,"JERSEY",6,1131,"083"
668,0,15,"JO DAVIESS",9,1174,"085"
669,0,15,"JOHNSON",9,448,"087"
670,0,15,"KANE",6,13332,"089"
671,0,15,"KANKAKEE",6,5102,"091"
672,0,15,"KENDALL",6,9293,"093"
673,0,15,"KNOX",9,645,"095"
674,0,15,"LAKE",6,22253,"097"
675,0,15,"LA SALLE",8,3999,"099"
676,0,15,"LAWRENCE",9,760,"101"
677,0,15,"LEE",9,1863,"103"
678,0,15,"LIVINGSTON",9,1765,"105"
679,0,15,"LOGAN",9,827,"107"
680,0,15,"MCDONOUGH",9,440,"109"
681,0,15,"MCHENRY",6,9021,"111"
682,0,15,"MCLEAN",8,4547,"113"
683,0,15,"MACON",8,4024,"115"
684,0,15,"MACOUPIN",9,3345,"117"
685,0,15,"MADISON",6,11718,"119"
686,0,15,"MARION",9,982,"121"
687,0,15,"MARSHALL",9,611,"123"
688,0,15,"MASON",9,695,"125"
689,0,15,"MASSAC",9,519,"127"
690,0,15,"MENARD",8,975,"129"
691,0,15,"MERCER",9,593,"131"
692,0,15,"MONROE",6,1698,"133"
693,0,15,"MONTGOMERY",9,1316,"135"
694,0,15,"MORGAN",9,394,"137"
695,0,15,"MOULTRIE",9,64,"139"
696,0,15,"OGLE",7,1968,"141"
697,0,15,"PEORIA",7,6228,"143"
698,0,15,"PERRY",9,831,"145"
699,0,15,"PIATT",9,571,"147"
700,0,15,"PIKE",9,729,"149"
701,0,15,"POPE",9,875,"151"
702,0,15,"PULASKI",9,396,"153"
703,0,15,"PUTNAM",9,993,"155"
